Title	URL	Assignees	Status	Labels	Effort Estimation	Effort Actual	Linked pull requests	Milestone
Extract transcripts from podcasts	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/6	lukas-varga, potthoffjan	Feature Archive	feature request, sprint-02	8	13		
Extract transcript from a single YouTube video locally	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/5	manikg08, preetvadaliya	Feature Archive	domain: 3rd-party APIs, feature request, sprint-02	8	3		
Extend transcript extraction from YouTube	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/9	manikg08, preetvadaliya	Feature Archive	domain: 3rd-party APIs, feature request, sprint-02	5	5		
Create concept for the sources input functionality (config)	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/2	eloinoel, EnescuDavid	Feature Archive	feature request, sprint-02	5	5	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/11	
Setup Development Environment	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/1	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Feature Archive	domain: env-and-tooling, sprint-02	3		https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/8	
Create CI/CD pipeline for Github	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/12	eloinoel, preetvadaliya	Feature Archive	domain: env-and-tooling, sprint-03	3		https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/33	
Implement the "orchestrator" functionality	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/3	eloinoel, EnescuDavid	Awaiting Review	domain: data pipeline, feature request, sprint-03	8		https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/43	
Extract data from academic repository PubMed Central (PMC) of the NIH	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/23	eloinoel, potthoffjan	Awaiting Review	domain: 3rd-party APIs, domain: data pipeline, feature request, sprint-03	8		https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/44	
Extract recipe data from recipe website Allrecipes	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/26	manikg08	In Progress	domain: data pipeline, domain: storage, feature request, sprint-03	8			
Create storage solution for extracted data in the server of the FAU HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/4	lukas-varga, preetvadaliya	In Progress	domain: env-and-tooling, sprint-03	8			
