Title	URL	Assignees	Status	Labels	Linked pull requests	Sprint	Reviewers	Timing	Estimation	Milestone
Create CI/CD pipeline for Github	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/12	eloinoel, preetvadaliya	Item Archive	domain: env-and-tooling, sprint-03	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/33	Sprint 03		1-start	3	Part 0: Setup
Extract data from academic repository PubMed Central (PMC) of the NIH	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/23	eloinoel, potthoffjan	Item Archive	domain: 3rd-party APIs, domain: data pipeline, feature, sprint-03	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/44	Sprint 03		0-independent	8	Part A: Data Acquisition 
Implement the "orchestrator" functionality	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/3	eloinoel, EnescuDavid	Item Archive	domain: data pipeline, feature, sprint-03	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/43, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/97	Sprint 03		0-independent	8	Part A: Data Acquisition 
Extract transcripts from podcasts	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/6	lukas-varga, potthoffjan	Item Archive	feature, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/22, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/29, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/65	Sprint 02		0-independent	8	Part A: Data Acquisition 
Extract transcript from a single YouTube video locally	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/5	manikg08, preetvadaliya	Item Archive	domain: 3rd-party APIs, feature, sprint-02		Sprint 02		0-independent	8	Part A: Data Acquisition 
Extend transcript extraction from YouTube	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/9	manikg08, preetvadaliya	Item Archive	domain: 3rd-party APIs, feature, sprint-02		Sprint 02		0-independent	5	Part A: Data Acquisition 
Create concept for the sources input functionality (config)	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/2	eloinoel, EnescuDavid	Item Archive	feature, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/11	Sprint 02		0-independent	5	Part A: Data Acquisition 
Setup Development Environment	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/1	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Item Archive	domain: env-and-tooling, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/8	Sprint 02		1-start	3	Part 0: Setup
Enhance Allrecipes scraper to include the new orchestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/62	manikg08	In Progress	domain: data pipeline, enhancement, sprint-04		Sprint 04		1-start	3	Part A: Data Acquisition 
Create storage solution for extracted data in the server of the FAU HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/4	lukas-varga, preetvadaliya	In Progress	domain: storage, question, re-evaluate necessity, sprint-03, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/34, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/42, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/80	Sprint 03		1-start	8	Part A: Data Acquisition 
Migration of the YouTube data extraction pipeline to GC	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/27	preetvadaliya	In Progress	domain: data pipeline, domain: env-and-tooling, domain: storage, sprint-03, sprint-04		Sprint 04		2-mid	8	Part A: Data Acquisition 
Extract recipe data from recipe website Allrecipes	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/26	manikg08	Awaiting Review	domain: data pipeline, domain: storage, feature, sprint-03, sprint-04		Sprint 04		0-independent	8	Part A: Data Acquisition 
Extract text content from academic repository: Arxiv	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/7	lukas-varga	Awaiting Review	domain: 3rd-party APIs, domain: data pipeline, domain: storage, feature, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/63	Sprint 04		2-mid	8	Part A: Data Acquisition 
Enhance Arxiv scraper to include the new orchestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/69	eloinoel, lukas-varga	Awaiting Review	domain: data pipeline, enhancement, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/79	Sprint 04		1-start	3	Part A: Data Acquisition 
Extract blog posts from the website Nutritionfacts	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/24	manikg08	Item Archive	domain: data pipeline, domain: storage, feature, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/77	Sprint 04			8	Part A: Data Acquisition 
Create the DB for extracted data in Google Cloud	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/48	eloinoel, preetvadaliya	Awaiting Review	domain: env-and-tooling, domain: storage, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		1-start	8	Part A: Data Acquisition 
Enhance YouTube scraper to include the new orhestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/60	preetvadaliya	Awaiting Review	domain: 3rd-party APIs, domain: data pipeline, enhancement, sprint-04		Sprint 04		1-start	3	Part A: Data Acquisition 
Familiarise with the RAG technique and the LangChain framework	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/25	potthoffjan, tubamos	Awaiting Review	research (scrum spike), sprint-03, sprint-04		Sprint 04		0-independent	5	Part B: LangChain Basic Pipeline for LLM 1
Create system architecture for the app	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/52	EnescuDavid	Item Archive	domain: app backend, domain: app frontend, domain: env-and-tooling, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/97	Sprint 04		0-independent	5	Part C: Mobile App for User-Agent Interaction
Enhance podcast scraper to include new orchestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/61	lukas-varga	Sprint Backlog	domain: data pipeline, enhancement, sprint-04		Sprint 04		1-start	3	Part A: Data Acquisition 
LangChain - Query Contruction	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/41	potthoffjan, preetvadaliya	In Progress	domain: data pipeline, domain: storage, feature, sprint-04		Sprint 04		2-mid	8	Part B: LangChain Basic Pipeline for LLM 1
LangChain - get on the same page	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/53	eloinoel, EnescuDavid, lukas-varga	In Progress	research (scrum spike), sprint-04		Sprint 04		0-independent	5	Part B: LangChain Basic Pipeline for LLM 1
(documentation) Create build process video	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/98		Product Backlog	documentation, domain: amos formal requirements, domain: env-and-tooling		Sprint 05		3-end		Part X: AMOS Formal Requirements: Mid-project Release
