Title	URL	Assignees	Status	Labels	Linked pull requests	Sprint	Reviewers	Timing	Estimation	Milestone	Actual
Enhance Allrecipes scraper to include the latest orchestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/62	manikg08	Item Archive	domain: data pipeline, enhancement, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/78	Sprint 04		1-start	3	Part A: Data Acquisition 	3
Migration of the YouTube data extraction pipeline to GC	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/27	preetvadaliya	Item Archive	domain: data pipeline, domain: env-and-tooling, domain: storage, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		2-mid	8	Part A: Data Acquisition 	3
LangChain - Query Contruction	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/41	potthoffjan, preetvadaliya	Item Archive	domain: data pipeline, domain: storage, feature, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/83	Sprint 04		2-mid	8	Part B: LangChain Basic Pipeline for LLM 1	5
Create storage solution for extracted data in the server of the FAU HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/4	lukas-varga, preetvadaliya	Item Archive	domain: storage, question, re-evaluate necessity, sprint-03, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/34, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/42, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/80	Sprint 03		1-start	8	Part A: Data Acquisition 	3
LangChain - get on the same page	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/53	eloinoel, EnescuDavid, lukas-varga	Item Archive	research (scrum spike), sprint-04		Sprint 04		0-independent	5	Part B: LangChain Basic Pipeline for LLM 1	5
Extract recipe data from recipe website Allrecipes	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/26	manikg08	Item Archive	domain: data pipeline, domain: storage, feature, sprint-03, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/78	Sprint 04		0-independent	8	Part A: Data Acquisition 	8
Extract text content from academic repository: Arxiv	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/7	lukas-varga	Item Archive	domain: 3rd-party APIs, domain: data pipeline, domain: storage, feature, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/63	Sprint 04		2-mid	8	Part A: Data Acquisition 	5
Create the DB for extracted data in Google Cloud	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/48	eloinoel, preetvadaliya	Item Archive	domain: env-and-tooling, domain: storage, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		1-start	8	Part A: Data Acquisition 	5
Enhance Arxiv scraper to include the new orchestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/69	eloinoel, lukas-varga	Item Archive	domain: data pipeline, enhancement, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/79	Sprint 04		1-start	3	Part A: Data Acquisition 	5
Enhance YouTube scraper to include the new orhestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/60	preetvadaliya	Item Archive	domain: 3rd-party APIs, domain: data pipeline, enhancement, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		1-start	3	Part A: Data Acquisition 	5
