Title	URL	Assignees	Status	Labels	Linked pull requests	Sprint	Reviewers	Timing	Estimation	Actual
Add documents for sprint 06	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/161	tubamos	Item Archive	domain: po, release: sprint-deliverables, sprint-06		Sprint 06	preetvadaliya	sprint-end	1	1
(data acquisition) Integrate the nutritionfacts blog posts scraper into the new orchestrator structure	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/89	lukas-varga, manikg08	Item Archive	data pipeline, enhancement, sprint-06	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/151	Sprint 06		independent	3	5
Catch errors from missing api-keys in .env file 	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/122	eloinoel, preetvadaliya	Item Archive	bug, env+tooling, sprint-06		Sprint 06		independent	1	1
Orchestrator: automatically create data/ folder and config.json	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/123	eloinoel, preetvadaliya	Item Archive	bug, sprint-06		Sprint 06		independent	1	1
Integrate the NIH-PubMed scraper into the new orchestrator structure	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/88	eloinoel	Item Archive	data pipeline, enhancement, sprint-06	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/145	Sprint 06		independent	5	5
Patch for the PubMed Scraper pdf downloading problems	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/126	eloinoel	Item Archive	bug, data pipeline, external API, sprint-06	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/146	Sprint 06		independent	3	3
Setup and write project documentation in GitHub Wiki	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/82	eloinoel, lukas-varga	Item Archive	amos formal, documentation, sprint-06	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/150	Sprint 06		sprint-start	8	8
Develop item #126 that was captured during the sprint meeting on Wednesday May29th	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/137	tubamos	Item Archive	domain: po, sprint-06		Sprint 06		sprint-start	2	2
Update README.md	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/116	tubamos	Item Archive	domain: po, release: sprint-deliverables, sprint-05		Sprint 05	lukas-varga	sprint-end	1	1
LangChain - Basic retrival and generation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/39	manikg08, potthoffjan	Item Archive	data pipeline, external API, feature, sprint-05, storage	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/112	Sprint 05		sprint-end	8	8
Create frontend interaction wireframes for the user app	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/93	EnescuDavid, preetvadaliya	Item Archive	app frontend, feature, sprint-05		Sprint 05		independent	8	8
Finalize LangChain query construction	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/101	potthoffjan, preetvadaliya	Item Archive	data pipeline, external API, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/113	Sprint 05		sprint-start	5	3
Create build process video	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/98	eloinoel, lukas-varga	Item Archive	amos formal, documentation, env+tooling, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/110	Sprint 05		independent	5	5
Error handling in the orchestrator	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/87	lukas-varga, preetvadaliya	Item Archive	data pipeline, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/109	Sprint 05		independent	5	3
Extend the "save" functionality of the base-scraper	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/91	preetvadaliya	Item Archive	data pipeline, enhancement, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/111	Sprint 05		sprint-start	5	2
Integrate the podcast scraper into the latest version of the orchestrator	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/61	lukas-varga	Item Archive	data pipeline, enhancement, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/105	Sprint 05		sprint-start	3	5
Formulate product mission	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/70	tubamos	Item Archive	amos formal, domain: po, sprint-05		Sprint 05		sprint-mid	2	2
Set Sprint Goal	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/74	Ghemechis, tubamos	Item Archive	amos formal, domain: po, sprint-05		Sprint 05		sprint-start	2	1
Formulate the definition done	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/73	Ghemechis, tubamos	Item Archive	amos formal, domain: po, sprint-05		Sprint 05		sprint-start	3	2
Create a release plan	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/72	Ghemechis, tubamos	Item Archive	amos formal, domain: po, sprint-05		Sprint 05		sprint-start	3	2
Formulate product vision	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/71	tubamos	Item Archive	amos formal, domain: po, sprint-05		Sprint 05		sprint-mid	2	1
Add documents for sprint 05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/120	tubamos	Item Archive	domain: po, release: sprint-deliverables, sprint-05		Sprint 05	lukas-varga	sprint-end	1	1
Enhance Allrecipes scraper to include the latest orchestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/62	manikg08	Item Archive	data pipeline, enhancement, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/78	Sprint 04		sprint-start	3	3
Migrate the YouTube data extraction pipeline to GC	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/27	preetvadaliya	Item Archive	data pipeline, env+tooling, sprint-04, storage	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		sprint-mid	8	3
LangChain - Query Contruction	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/41	potthoffjan, preetvadaliya	Item Archive	data pipeline, feature, sprint-04, storage	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/83	Sprint 04		sprint-mid	8	5
Create storage solution for extracted data in the server of the FAU HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/4	lukas-varga, preetvadaliya	Item Archive	question, re-evaluate, sprint-03, sprint-04, storage	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/34, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/42, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/80	Sprint 03		sprint-start	8	3
Create automated PR	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/103	preetvadaliya	Item Archive	env+tooling, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/104	Sprint 05		sprint-start	1	1
LangChain - get on the same page	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/53	eloinoel, EnescuDavid, lukas-varga	Item Archive	research spike, sprint-04		Sprint 04		independent	5	5
Extract recipe data from recipe website Allrecipes	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/26	manikg08	Item Archive	data pipeline, feature, sprint-03, sprint-04, storage	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/78	Sprint 04		independent	8	8
Extract text content from academic repository: Arxiv	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/7	lukas-varga	Item Archive	data pipeline, external API, feature, sprint-04, storage	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/63	Sprint 04		sprint-mid	8	5
Create the DB for extracted data in Google Cloud	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/48	eloinoel, preetvadaliya	Item Archive	env+tooling, sprint-04, storage	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		sprint-start	8	5
Enhance Arxiv scraper to include the new orchestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/69	eloinoel, lukas-varga	Item Archive	data pipeline, enhancement, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/79	Sprint 04		sprint-start	3	5
Enhance YouTube scraper to include the new orhestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/60	preetvadaliya	Item Archive	data pipeline, enhancement, external API, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		sprint-start	3	5
Familiarise with the RAG technique and the LangChain framework	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/25	potthoffjan, tubamos	Item Archive	research spike, sprint-03, sprint-04		Sprint 04		independent	5	5
Create CI/CD pipeline for Github	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/12	eloinoel, preetvadaliya	Item Archive	env+tooling, sprint-03	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/33	Sprint 03		sprint-start	3	3
